ALLEN BRADLEY 100S-C30KJ23C: Count = 1, Total Quantity = 2
SCHNEIDER ELEC. LRD 14: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. LT3-SA00MW: Count = 1, Total Quantity = 3
SCHNEIDER ELEC. LV429515: Count = 1, Total Quantity = 2
SCHNEIDER ELEC. NSYCC0TH0F: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. NSYCC0THD: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. RE22R2AMU: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. RE22R2CMR: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4 -BZ101: Count = 1, Total Quantity = 3
SCHNEIDER ELEC. ZB4 BA4: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4- BA3: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BA1: Count = 1, Total Quantity = 2
SCHNEIDER ELEC. ZB4-BG2: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BS844: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BV013S: Count = 1, Total Quantity = 5
SCHNEIDER ELEC. ZB4-BV043S: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BV053S: Count = 1, Total Quantity = 9
SCHNEIDER ELEC. ZB4-BV063S: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BVB1: Count = 1, Total Quantity = 5
SCHNEIDER ELEC. ZB4-BVB4: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BVB5: Count = 1, Total Quantity = 9
SCHNEIDER ELEC. ZB4-BVB6: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BZ101: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZB4-BZ102: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZBE-101: Count = 1, Total Quantity = 4
SCHNEIDER ELEC. ZBY9320: Count = 1, Total Quantity = 1
SCHNEIDER ELEC. ZBZ G156: Count = 1, Total Quantity = 15
SEIMENS 3UG4617-1CR20: Count = 1, Total Quantity = 1
SOCOMEC SIRCO M20: Count = 1, Total Quantity = 1
SOMER 2000 LTD ST1500: Count = 1, Total Quantity = 2
SOMER 2000 LTD ST2000: Count = 1, Total Quantity = 1
SOMER 2000 LTD ST2500: Count = 1, Total Quantity = 1
SOUTHCO E3-160-012 + E3-28-201-24: Count = 1, Total Quantity = 1
SOUTHCO E3-19-10: Count = 1, Total Quantity = 5
SOUTHCO E3-24-201-18: Count = 1, Total Quantity = 6
SOUTHCO E3-27-1: Count = 1, Total Quantity = 5
STAINLESS STEEL PAINTED RAL5005: Count = 5, Total Quantity = 8
STEGO 01140.0-00: Count = 1, Total Quantity = 
STEGO 06030.1-00: Count = 1, Total Quantity = 1
TO BE MFD: Count = 6, Total Quantity = 8
UK SOLENOID LIMTED CA11B-###-##: Count = 1, Total Quantity = 1
UK SOLENOID LIMTED F*GB#####: Count = 1, Total Quantity = 1
WEIDMULLER 0117510000: Count = 1, Total Quantity = A/R
WEIDMULLER 0130160000: Count = 2, Total Quantity = 9
WEIDMULLER 0172160000: Count = 1, Total Quantity = 10
WEIDMULLER 0211360000: Count = 1, Total Quantity = 2
WEIDMULLER 0236400000: Count = 1, Total Quantity = 
WEIDMULLER 0380360000: Count = 1, Total Quantity = 3
WEIDMULLER 0380560000: Count = 1, Total Quantity = 3
WEIDMULLER 041200000: Count = 1, Total Quantity = 2
WEIDMULLER 0443660000: Count = 1, Total Quantity = 6
WEIDMULLER 0461100000: Count = 1, Total Quantity = 1
WEIDMULLER 0461300000: Count = 1, Total Quantity = 1
WEIDMULLER 0474560000: Count = 1, Total Quantity = 13
WEIDMULLER 0482700000: Count = 1, Total Quantity = 1
WEIDMULLER 04828000000: Count = 1, Total Quantity = 2
WEIDMULLER 0482900000: Count = 1, Total Quantity = 1
WEIDMULLER 1061200000: Count = 1, Total Quantity = 47

Items with 'A/R':
CABLECRAFT 20440034
CABLECRAFT 20440054
CABLECRAFT CY10.0ZH
ELAND CABLES A2ZBK0015
ELAND CABLES A2ZBK0025
ELAND CABLES A2ZBK035
ELAND CABLES A2ZBL0010
ELAND CABLES A2ZBL0015
ELAND CABLES A2ZBL0025
ELAND CABLES A2ZBR0015
ELAND CABLES A2ZBR0025
ELAND CABLES A2ZBR035
ELAND CABLES A2ZGR0015
ELAND CABLES A2ZGR0025
ELAND CABLES A2ZGR035
ELAND CABLES A2ZGY0015
ELAND CABLES A2ZGY0025
ELAND CABLES A2ZRD0010
ELAND CABLES A2ZRD0015
ELAND CABLES A2ZWH0010
ELAND CABLES FCB90
ERICO 537500
RAYCHEM 99M1121-22-0/9-9
WEIDMULLER 0117510000
